Время (с),A0 (В),A2 (В)
249.37643933296204,2.431,2.745
249.38045144081116,2.431,2.784
249.38045144081116,2.431,2.647
249.38456869125366,2.451,2.706
249.38855457305908,2.451,2.784
249.39256858825684,2.471,2.706
249.39355564117432,2.471,2.824
249.39756774902344,2.412,3.000
249.40156936645508,2.392,2.961
249.40156936645508,2.412,3.020
249.40567636489868,2.392,3.039
249.409677028656,2.373,2.980
249.41367650032043,2.373,2.863
249.41367650032043,2.353,2.843
249.41667652130127,2.353,2.804
249.4212086200714,2.333,2.490
249.4262011051178,2.353,2.333
249.4262011051178,2.333,2.255
249.43020963668823,2.353,2.137
249.4342086315155,2.314,1.961
249.43821048736572,2.314,2.078
249.43821048736572,2.314,2.039
249.4422082901001,2.294,1.922
249.44620847702026,2.353,2.039
249.44620847702026,2.392,2.078
249.45125603675842,2.392,2.137
249.45420861244202,2.412,2.333
249.45820832252502,2.451,2.490
249.45820832252502,2.471,2.392
249.46220636367798,2.490,2.353
249.46629667282104,2.529,2.392
249.47129654884338,2.510,2.275
249.47129654884338,2.549,2.196
249.47529435157776,2.529,2.176
249.47929430007935,2.490,2.314
249.48331713676453,2.471,2.176
249.48331713676453,2.471,2.118
249.48729395866394,2.471,2.196
249.49140429496765,2.471,2.157
249.49140429496765,2.451,2.275
249.49587750434875,2.471,2.471
249.5003023147583,2.471,2.471
249.5039141178131,2.471,2.490
249.5039141178131,2.490,2.569
249.50791382789612,2.549,2.471
249.51202201843262,2.569,2.353
249.51602411270142,2.549,2.294
249.51602411270142,2.529,2.275
249.51966881752014,2.529,1.980
249.52366852760315,2.490,1.765
249.52809929847717,2.431,1.647
249.52809929847717,2.451,1.510
249.53210186958313,2.451,1.353
249.53621411323547,2.431,1.392
249.53621411323547,2.451,1.431
249.54021406173706,2.490,1.294
249.5443127155304,2.510,1.451
249.5483102798462,2.549,1.529
249.5483102798462,2.569,1.510
249.55231261253357,2.549,1.627
249.5573136806488,2.549,1.863
249.56144523620605,2.549,1.922
249.56144523620605,2.510,1.980
249.5655117034912,2.510,2.000
249.56952452659607,2.490,2.137
249.57374501228333,2.471,2.157
249.57374501228333,2.451,2.275
249.57776880264282,2.412,2.490
249.581768989563,2.412,2.392
249.581768989563,2.431,2.588
249.58601427078247,2.451,2.667
249.59003734588623,2.471,2.667
249.59403777122498,2.471,2.706
249.59403777122498,2.451,2.824
249.59803771972656,2.471,2.922
249.60202860832214,2.510,2.706
249.60615253448486,2.510,2.745
249.60615253448486,2.529,2.706
249.61025214195251,2.510,2.549
249.61425304412842,2.529,2.510
249.61425304412842,2.510,2.569
249.61875939369202,2.490,2.431
249.6227777004242,2.529,2.314
249.62677764892578,2.510,2.235
249.62677764892578,2.490,2.137
249.63077759742737,2.569,1.902
249.63477540016174,2.549,1.784
249.63887906074524,2.588,1.804
249.63887906074524,2.608,1.608
249.64287781715393,2.667,1.490
249.64688801765442,2.686,1.549
249.6508903503418,2.706,1.529
249.6508903503418,2.706,1.569
249.65489554405212,2.667,1.667
249.6588912010193,2.647,1.824
249.65988159179688,2.588,1.824
249.66387796401978,2.549,1.980
249.66789031028748,2.529,2.098
249.6719994544983,2.510,2.196
249.6719994544983,2.471,2.333
249.676011800766,2.392,2.490
249.68000960350037,2.412,2.549
249.68402671813965,2.353,2.490
249.68402671813965,2.392,2.627
249.6880156993866,2.353,2.647
249.6920268535614,2.373,2.647
249.69553422927856,2.353,2.725
249.69553422927856,2.353,2.941
249.70014667510986,2.353,2.765
249.70423889160156,2.333,2.686
249.70423889160156,2.353,2.824
249.70824122428894,2.373,2.686
249.71280884742737,2.392,2.569
249.7168276309967,2.373,2.627
249.7168276309967,2.392,2.667
249.72044157981873,2.392,2.471
249.72445392608643,2.431,2.431
249.7284517288208,2.412,2.392
249.72944235801697,2.353,2.235
249.73345398902893,2.373,2.255
249.73744201660156,2.333,2.235
249.74146223068237,2.275,2.098
249.74146223068237,2.275,1.980
249.74545192718506,2.294,2.098
249.7494559288025,2.255,1.980
249.7494559288025,2.275,1.961
249.75345396995544,2.235,1.980
249.7574532032013,2.235,2.118
249.76145148277283,2.235,1.961
249.76145148277283,2.255,1.980
249.76545405387878,2.275,2.059
249.7695517539978,2.294,2.059
249.77355122566223,2.333,2.098
249.7745418548584,2.314,2.255
249.77853894233704,2.333,2.392
249.78255152702332,2.353,2.275
249.7867443561554,2.353,2.294
249.7867443561554,2.353,2.353
249.79076504707336,2.333,2.216
249.79486227035522,2.353,2.255
249.79486227035522,2.333,2.333
249.7988622188568,2.333,2.176
249.80238389968872,2.392,2.157
249.80638337135315,2.373,2.255
249.80638337135315,2.451,2.333
249.81101489067078,2.471,2.353
249.81501698493958,2.431,2.627
249.81977725028992,2.431,2.863
249.81977725028992,2.471,2.784
249.82331371307373,2.471,2.804
249.82731366157532,2.471,2.882
249.831524848938,2.490,2.745
249.831524848938,2.490,2.686
249.83550596237183,2.490,2.824
249.83950686454773,2.510,2.824
249.83950686454773,2.510,2.667
249.84358859062195,2.549,2.647
249.84759092330933,2.549,2.569
249.8517005443573,2.588,2.373
249.8517005443573,2.608,2.176
249.85570120811462,2.608,2.196
249.8597800731659,2.627,1.941
249.8637821674347,2.627,1.843
249.8637821674347,2.627,1.902
249.8679118156433,2.608,1.843
249.87191081047058,2.569,1.843
249.87689900398254,2.549,2.000
249.87689900398254,2.529,2.157
249.87990999221802,2.490,1.941
249.8850495815277,2.490,1.902
249.8850495815277,2.490,1.863
249.8890483379364,2.490,1.784
249.8931314945221,2.490,1.706
249.89722895622253,2.490,1.922
249.89722895622253,2.510,2.137
249.9012291431427,2.510,2.216
249.90524673461914,2.529,2.451
249.90924715995789,2.549,2.569
249.90924715995789,2.569,2.647
249.9132468700409,2.588,2.706
249.91724681854248,2.569,2.745
249.92183661460876,2.608,2.569
249.92183661460876,2.588,2.392
249.92579865455627,2.588,2.431
249.92978525161743,2.569,2.412
249.92978525161743,2.549,2.235
249.93379282951355,2.529,2.235
249.93781065940857,2.529,2.412
249.94179916381836,2.490,2.235
249.94179916381836,2.529,2.216
249.94579100608826,2.588,2.294
249.9497992992401,2.588,2.196
249.95391082763672,2.627,2.196
249.95391082763672,2.627,2.235
249.9579107761383,2.608,2.196
249.9620156288147,2.588,2.039
249.96698927879333,2.588,2.039
249.96698927879333,2.569,1.961
249.97096586227417,2.549,1.902
249.9749574661255,2.549,1.961
249.9749574661255,2.529,2.118
249.97899842262268,2.529,2.039
249.9830129146576,2.510,1.980
249.98702120780945,2.510,2.039
249.98702120780945,2.490,1.980
249.99102115631104,2.471,2.000
249.99502110481262,2.431,2.020
249.9991204738617,2.412,2.216
249.9991204738617,2.373,2.059
250.00311994552612,2.412,2.078
250.00713658332825,2.431,2.098
250.0115191936493,2.431,1.961
250.0115191936493,2.412,1.922
250.01549887657166,2.392,2.000
250.02003407478333,2.392,2.078
250.02003407478333,2.373,2.000
250.0242156982422,2.373,2.157
250.02819395065308,2.373,2.255
250.03219413757324,2.392,2.176
250.03219413757324,2.373,2.255
250.03628611564636,2.373,2.314
250.04028606414795,2.412,2.235
250.04438710212708,2.431,2.020
250.04438710212708,2.471,2.020
250.04838705062866,2.490,1.922
250.0524923801422,2.529,1.765
250.0524923801422,2.529,1.843
250.05659794807434,2.490,1.863
250.06059741973877,2.471,1.706
250.06459760665894,2.471,1.765
250.06459760665894,2.451,1.824
250.06959581375122,2.431,1.804
250.07287526130676,2.412,1.941
250.07686614990234,2.373,2.098
250.07686614990234,2.373,2.216
250.08087539672852,2.353,2.118
250.08487558364868,2.353,2.216
250.08898973464966,2.353,2.196
250.08998250961304,2.353,2.216
250.09397888183594,2.333,2.333
250.09799146652222,2.294,2.510
250.09799146652222,2.294,2.529
250.10199165344238,2.314,2.588
250.10601019859314,2.275,2.647
250.11009979248047,2.314,2.588
250.11009979248047,2.314,2.510
250.11409330368042,2.275,2.569
250.11823725700378,2.314,2.529
250.12176275253296,2.314,2.294
250.12275099754333,2.353,2.255
250.12586212158203,2.392,2.235
250.1298623085022,2.373,2.078
250.13495779037476,2.373,2.118
250.13495779037476,2.353,2.333
250.13797044754028,2.333,2.353
250.1430971622467,2.333,2.235
250.1430971622467,2.333,2.373
250.14709568023682,2.314,2.392
