time,amplitude
5452.22119141,3.07843137
5452.23339844,1.68627453
5452.23339844,0.25490198
5452.23339844,0.00000000
5452.23339844,0.45098040
5452.24560547,2.01960778
5452.24560547,3.33333325
5452.24560547,3.01960778
5452.24560547,0.96078432
5452.25830078,0.11764706
5452.25830078,0.00000000
5452.25830078,0.88235295
5452.25830078,2.68627453
5452.26611328,3.45098042
5452.26611328,2.37254906
5452.26611328,0.47058824
5452.27832031,0.03921569
5452.27832031,0.11764706
5452.27832031,1.45098042
5452.27832031,3.05882359
5452.29052734,3.43137264
5452.29052734,1.72549021
5452.29052734,0.27450982
5452.29052734,0.00000000
5452.30322266,0.45098040
5452.30322266,2.00000000
5452.30322266,3.33333325
5452.30322266,3.05882359
5452.31152344,1.00000000
5452.31152344,0.13725491
5452.31152344,0.00000000
5452.32373047,0.90196079
5452.32373047,2.66666675
5452.32373047,3.45098042
5452.32373047,2.41176462
5452.33544922,0.49019608
5452.33544922,0.03921569
5452.33544922,0.11764706
5452.33544922,1.41176474
5452.34814453,3.05882359
5452.34814453,3.45098042
5452.34814453,1.74509799
5452.34814453,0.27450982
5452.35595703,0.00000000
5452.35595703,0.41176471
5452.35595703,1.96078432
5452.36865234,3.31372547
5452.36865234,3.09803915
5452.36865234,1.03921568
5452.36865234,0.13725491
5452.38134766,0.00000000
5452.38134766,0.90196079
5452.38134766,2.62745094
5452.38134766,3.45098042
5452.38916016,2.45098042
5452.38916016,0.50980395
5452.40136719,0.09803922
5452.40136719,1.39215684
5452.40136719,3.05882359
5452.40136719,3.45098042
5452.41357422,1.76470590
5452.41357422,0.27450982
5452.41357422,0.00000000
5452.41357422,0.33333334
5452.42578125,1.94117641
5452.42578125,3.31372547
5452.42578125,3.11764717
5452.42578125,1.05882359
5452.43408203,0.15686275
5452.43408203,0.00000000
5452.43408203,0.86274511
5452.44628906,2.60784316
5452.44628906,3.45098042
5452.44628906,2.49019599
5452.44628906,0.50980395
5452.45898438,0.05882353
5452.45898438,0.09803922
5452.45898438,1.45098042
5452.45898438,3.03921580
5452.47167969,3.47058821
5452.47167969,1.84313726
5452.47167969,0.29411766
5452.47167969,0.00000000
5452.47949219,0.39215687
5452.47949219,1.90196073
5452.47949219,3.29411769
5452.49121094,3.15686274
5452.49121094,1.09803927
5452.49121094,0.15686275
5452.49121094,0.00000000
5452.50390625,0.78431374
5452.50390625,2.58823538
5452.50390625,3.45098042
5452.50390625,2.49019599
5452.51611328,0.52941179
5452.51611328,0.07843138
5452.51611328,0.09803922
5452.51611328,1.39215684
5452.52441406,3.03921580
5452.52441406,3.47058821
5452.52441406,1.88235295
5452.53662109,0.31372550
5452.53662109,0.01960784
5452.53662109,0.41176471
5452.53662109,1.86274505
5452.54882813,3.27450991
5452.54882813,3.17647052
5452.54882813,1.11764705
5452.54882813,0.15686275
5452.55761719,0.00000000
5452.55761719,0.76470590
5452.56933594,3.45098042
5452.56933594,2.52941179
5452.56933594,0.54901963
5452.56933594,0.07843138
5452.58154297,0.07843138
5452.58154297,1.35294116
5452.58154297,3.01960778
5452.58154297,3.47058821
5452.59423828,1.90196073
5452.59423828,0.31372550
5452.59423828,0.01960784
5452.59423828,0.37254903
5452.60205078,1.84313726
5452.60205078,3.27450991
5452.60205078,3.21568632
5452.61474609,1.17647064
5452.61474609,0.17647059
5452.61474609,0.01960784
5452.61474609,0.80392158
5452.62646484,2.52941179
5452.62646484,3.45098042
5452.62646484,2.58823538
5452.62646484,0.56862748
5452.63916016,0.09803922
5452.63916016,0.07843138
5452.63916016,1.33333337
5452.63916016,3.01960778
5452.64697266,3.47058821
5452.64697266,1.94117641
5452.64697266,0.33333334
5452.65966797,0.01960784
5452.65966797,0.31372550
5452.65966797,1.80392158
5452.65966797,3.27450991
5452.67187500,3.23529410
5452.67187500,1.19607842
5452.67187500,0.17647059
5452.67187500,0.01960784
5452.68017578,0.78431374
5452.68017578,2.49019599
5452.69238281,2.60784316
5452.69238281,0.66666669
5452.69238281,0.09803922
5452.69238281,0.07843138
5452.70458984,1.37254906
5452.70458984,3.01960778
5452.70458984,3.49019599
5452.70458984,1.98039210
5452.71679688,0.35294119
5452.71679688,0.01960784
5452.71679688,0.29411766
5452.71679688,1.78431368
5452.72509766,3.25490189
5452.72509766,3.25490189
5452.73730469,0.17647059
5452.73730469,0.00000000
5452.73730469,0.68627453
5452.73730469,2.47058821
5452.74951172,3.45098042
5452.74951172,2.62745094
5452.74951172,0.62745100
5452.74951172,0.09803922
5452.76171875,0.07843138
5452.76171875,1.31372547
5452.76171875,3.00000000
5452.76171875,3.49019599
5452.77050781,2.01960778
5452.77050781,0.35294119
5452.77050781,0.03921569
5452.78222656,0.33333334
5452.78222656,1.74509799
5452.78222656,3.25490189
5452.78222656,3.27450991
5452.79443359,1.25490201
5452.79443359,0.17647059
5452.79443359,0.00000000
5452.79443359,0.66666669
5452.80712891,2.45098042
5452.80712891,3.43137264
5452.80712891,2.64705873
5452.80712891,0.62745100
5452.81494141,0.09803922
5452.81494141,0.05882353
5452.81494141,1.27450979
5452.82763672,3.00000000
5452.82763672,3.49019599
5452.82763672,2.03921580
5452.82763672,0.35294119
5452.83935547,0.03921569
5452.83935547,0.31372550
5452.83935547,1.72549021
5452.83935547,3.23529410
5452.84814453,3.29411769
5452.84814453,1.29411769
5452.86035156,0.01960784
5452.86035156,0.68627453
5452.86035156,2.41176462
5452.86035156,3.43137264
5452.87255859,2.68627453
5452.87255859,0.66666669
5452.87255859,0.11764706
5452.87255859,0.05882353
5452.88476563,1.23529410
5452.88476563,2.98039222
5452.88476563,3.49019599
5452.88476563,2.05882359
5452.89306641,0.37254903
5452.89306641,0.03921569
5452.89306641,0.27450982
5452.90527344,1.68627453
5452.90527344,3.21568632
5452.90527344,3.31372547
5452.90527344,1.33333337
5452.91748047,0.19607843
5452.91748047,0.01960784
5452.91748047,0.70588237
5452.91748047,2.39215684
5452.92968750,3.43137264
5452.92968750,2.72549009
5452.92968750,0.74509805
5452.92968750,0.11764706
5452.93798828,0.05882353
5452.93798828,1.25490201
5452.93798828,2.96078420
5452.95068359,3.49019599
5452.95068359,2.09803915
5452.95068359,0.37254903
5452.95068359,0.03921569
5452.96289063,0.23529412
5452.96289063,1.64705884
5452.96289063,3.19607854
5452.96289063,3.33333325
5452.97460938,1.33333337
5452.97460938,0.19607843
5452.97460938,0.00000000
5452.97460938,0.58823532
5452.98339844,2.35294127
5452.98339844,3.43137264
5452.98339844,2.74509811
5452.99511719,0.76470590
5452.99511719,0.11764706
5452.99511719,0.05882353
5452.99511719,1.23529410
5453.00781250,2.96078420
5453.00781250,3.49019599
5453.00781250,2.13725495
5453.00781250,0.39215687
5453.01562500,0.03921569
5453.01562500,0.27450982
5453.02832031,3.17647052
5453.02832031,3.33333325
5453.02832031,1.39215684
5453.02832031,0.19607843
5453.04052734,0.00000000
5453.04052734,0.58823532
5453.04052734,2.33333325
5453.04052734,3.41176462
5453.05273438,2.76470590
5453.05273438,0.76470590
5453.05273438,0.11764706
5453.05273438,0.05882353
5453.06054688,1.17647064
5453.06054688,2.94117641
5453.06054688,3.49019599
5453.07324219,2.15686274
5453.07324219,0.41176471
5453.07324219,0.03921569
5453.07324219,0.25490198
5453.08544922,1.66666663
5453.08544922,3.17647052
5453.08544922,3.35294127
5453.08544922,1.43137252
5453.09814453,0.21568628
5453.09814453,0.01960784
5453.09814453,0.60784316
5453.09814453,2.29411769
5453.10595703,3.41176462
5453.10595703,2.78431368
5453.10595703,0.78431374
5453.11865234,0.13725491
5453.11865234,0.05882353
5453.11865234,1.13725495
5453.11865234,2.90196085
5453.13037109,3.47058821
5453.13037109,2.17647052
5453.13037109,0.41176471
5453.13037109,0.03921569
5453.14257813,0.23529412
5453.14257813,1.62745094
5453.14257813,3.15686274
5453.14257813,3.35294127
5453.15087891,1.47058821
5453.15087891,0.21568628
5453.15087891,0.01960784
5453.16357422,0.60784316
5453.16357422,2.25490189
5453.16357422,3.39215684
5453.16357422,2.82352948
5453.17578125,0.84313726
5453.17578125,0.13725491
5453.17578125,0.05882353
5453.17578125,1.13725495
5453.18408203,2.88235283
5453.18408203,3.47058821
5453.19580078,0.43137255
5453.19580078,0.05882353
5453.19580078,0.21568628
5453.19580078,1.56862748
5453.20849609,3.13725495
5453.20849609,3.35294127
5453.20849609,1.49019611
5453.20849609,0.23529412
5453.22070313,0.03921569
5453.22070313,0.58823532
5453.22070313,2.21568632
5453.22070313,3.37254906
5453.22900391,2.84313726
5453.22900391,0.86274511
5453.22900391,0.15686275
5453.24121094,0.05882353
5453.24121094,1.13725495
5453.24121094,2.84313726
5453.24121094,3.45098042
5453.25390625,2.23529410
5453.25390625,0.45098040
5453.25390625,0.05882353
5453.25390625,0.23529412
5453.26562500,1.56862748
5453.26562500,3.11764717
5453.26562500,3.35294127
5453.26562500,1.50980389
5453.27392578,0.25490198
5453.27392578,0.03921569
5453.27392578,0.52941179
5453.28613281,2.17647052
5453.28613281,3.35294127
5453.28613281,2.84313726
5453.28613281,0.90196079
5453.29833984,0.17647059
5453.29833984,0.07843138
5453.29833984,1.11764705
5453.29833984,2.80392146
5453.31103516,3.39215684
5453.31103516,2.19607854
5453.31103516,0.45098040
5453.31103516,0.07843138
5453.31933594,0.25490198
5453.31933594,1.60784316
5453.31933594,3.05882359
5453.33154297,3.29411769
5453.33154297,1.50980389
5453.33154297,0.27450982
5453.33154297,0.07843138
5453.34375000,0.56862748
5453.34375000,2.13725495
5453.34375000,3.29411769
5453.34375000,2.80392146
5453.35156250,0.88235295
5453.35156250,0.19607843
5453.36425781,1.03921568
5453.36425781,2.74509811
5453.36425781,3.33333325
5453.36425781,2.19607854
5453.37646484,0.47058824
5453.37646484,0.09803922
5453.37646484,0.25490198
5453.37646484,1.54901958
5453.38867188,3.01960778
5453.38867188,3.27450991
5453.38867188,1.52941179
5453.38867188,0.27450982
5453.39697266,0.07843138
5453.39697266,0.52941179
5453.39697266,2.11764717
5453.40869141,3.25490189
5453.40869141,2.82352948
5453.40869141,0.88235295
5453.40869141,0.19607843
5453.42138672,0.09803922
5453.42138672,1.00000000
5453.42138672,2.72549009
5453.42138672,3.33333325
5453.43359375,2.21568632
5453.43359375,0.47058824
5453.43359375,0.09803922
5453.43359375,0.21568628
5453.44189453,1.49019611
5453.44189453,3.00000000
5453.44189453,3.29411769
5453.45410156,1.56862748
5453.45410156,0.29411766
5453.45410156,0.07843138
5453.45410156,0.54901963
5453.46679688,2.05882359
5453.46679688,3.25490189
5453.46679688,2.86274505
5453.46679688,0.94117647
5453.47460938,0.19607843
5453.47460938,0.09803922
5453.48681641,2.66666675
5453.48681641,3.31372547
5453.48681641,2.23529410
5453.48681641,0.50980395
5453.49902344,0.13725491
5453.49902344,0.23529412
5453.49902344,1.47058821
5453.49902344,2.96078420
5453.51171875,3.25490189
5453.51171875,1.56862748
5453.51171875,0.29411766
5453.51171875,0.09803922
5453.51953125,0.49019608
5453.51953125,2.03921580
5453.51953125,3.21568632
5453.53222656,2.86274505
5453.53222656,0.94117647
5453.53222656,0.21568628
5453.53222656,0.09803922
5453.54394531,1.01960790
5453.54394531,2.62745094
5453.54394531,3.29411769
5453.54394531,2.25490189
5453.55664063,0.50980395
5453.55664063,0.13725491
5453.55664063,0.23529412
5453.55664063,1.49019611
5453.56445313,2.96078420
5453.56445313,3.25490189
5453.56445313,1.60784316
5453.57714844,0.31372550
5453.57714844,0.09803922
5453.57714844,0.47058824
5453.57714844,2.00000000
5453.58935547,3.19607854
5453.58935547,2.90196085
5453.58935547,0.98039216
5453.58935547,0.21568628
5453.60205078,0.09803922
5453.60205078,0.94117647
5453.60205078,2.58823538
5453.60205078,3.29411769
5453.60986328,2.29411769
5453.60986328,0.52941179
5453.60986328,0.13725491
5453.62207031,0.21568628
5453.62207031,1.47058821
5453.62207031,2.94117641
5453.62207031,3.27450991
5453.63427734,1.68627453
5453.63427734,0.33333334
5453.63427734,0.09803922
5453.63427734,0.50980395
5453.64257813,1.94117641
5453.64257813,3.17647052
5453.65478516,1.00000000
5453.65478516,0.23529412
5453.65478516,0.09803922
5453.65478516,0.88235295
5453.66748047,2.56862736
5453.66748047,3.27450991
5453.66748047,2.27450991
5453.66748047,0.52941179
5453.67919922,0.13725491
5453.67919922,0.21568628
5453.67919922,1.41176474
5453.67919922,2.90196085
5453.68798828,3.25490189
5453.68798828,1.68627453
5453.68798828,0.33333334
5453.69970703,0.09803922
5453.69970703,0.50980395
5453.69970703,1.90196073
5453.69970703,3.11764717
5453.71240234,2.88235283
5453.71240234,1.01960790
5453.71240234,0.23529412
5453.71240234,0.11764706
5453.72460938,0.92156863
5453.72460938,2.52941179
5453.72460938,3.25490189
5453.72460938,2.31372547
5453.73291016,0.52941179
5453.73291016,0.13725491
5453.73291016,0.19607843
5453.74511719,1.37254906
5453.74511719,2.88235283
5453.74511719,3.25490189
5453.74511719,1.68627453
5453.75683594,0.33333334
5453.75683594,0.09803922
5453.75683594,0.45098040
5453.75683594,1.86274505
5453.76953125,3.11764717
5453.76953125,2.92156863
5453.76953125,1.03921568
5453.76953125,0.21568628
5453.77783203,0.09803922
5453.77783203,0.90196079
5453.77783203,2.49019599
5453.79003906,3.23529410
5453.79003906,2.33333325
5453.79003906,0.52941179
5453.79003906,0.13725491
5453.80273438,0.17647059
5453.80273438,1.39215684
5453.80273438,2.86274505
5453.80273438,3.25490189
5453.81054688,1.74509799
5453.81054688,0.35294119
5453.82324219,0.39215687
5453.82324219,1.82352936
5453.82324219,3.09803915
5453.82324219,2.94117641
5453.83496094,1.05882359
5453.83496094,0.21568628
5453.83496094,0.07843138
5453.83496094,0.80392158
5453.84716797,2.43137264
5453.84716797,3.23529410
5453.84716797,2.37254906
5453.84716797,0.54901963
5453.85546875,0.13725491
5453.85546875,0.15686275
5453.85546875,1.35294116
5453.86816406,2.86274505
5453.86816406,3.27450991
5453.86816406,1.78431368
5453.86816406,0.35294119
5453.88037109,0.07843138
5453.88037109,0.37254903
5453.88037109,1.78431368
5453.88037109,3.09803915
5453.89208984,3.00000000
5453.89208984,1.09803927
5453.89208984,0.21568628
5453.89208984,0.05882353
5453.90087891,0.76470590
5453.90087891,2.41176462
5453.90087891,3.23529410
5453.91259766,2.39215684
5453.91259766,0.56862748
5453.91259766,0.13725491
5453.91259766,0.13725491
5453.92529297,1.31372547
5453.92529297,2.84313726
5453.92529297,3.27450991
5453.92529297,1.82352936
5453.93750000,0.37254903
5453.93750000,0.07843138
5453.93750000,0.43137255
5453.93750000,1.76470590
5453.94580078,3.07843137
5453.94580078,3.00000000
5453.94580078,1.13725495
5453.95849609,0.21568628
5453.95849609,0.05882353
5453.95849609,0.76470590
5453.95849609,2.39215684
5453.97021484,3.23529410
5453.97021484,2.41176462
5453.97021484,0.56862748
5453.97021484,0.13725491
5453.97851563,0.13725491
5453.97851563,1.23529410
5453.99072266,3.27450991
5453.99072266,1.82352936
5453.99072266,0.37254903
5453.99072266,0.07843138
5454.00292969,0.37254903
5454.00292969,1.72549021
5454.00292969,3.05882359
5454.00292969,3.01960778
5454.01562500,1.15686274
5454.01562500,0.21568628
5454.01562500,0.05882353
5454.01562500,0.78431374
5454.02392578,2.35294127
