Время (с),A0 (В),A2 (В)
131.89162969589233,2.608,
131.8996160030365,2.608,
131.91232323646545,2.706,
131.91996479034424,2.373,
131.93236565589905,2.235,
131.9403657913208,1.941,
131.95346999168396,2.059,
131.96099495887756,1.882,
131.97355556488037,1.941,
131.98255348205566,1.725,
131.99411392211914,1.980,
132.00225281715393,1.941,
132.01535558700562,2.333,
132.0222773551941,2.176,
132.03050446510315,2.392,
132.04350543022156,2.118,
132.0516393184662,2.412,
132.06365656852722,2.255,
132.07218408584595,2.490,
132.0842957496643,2.314,
132.09229350090027,2.569,
132.10468316078186,2.412,
132.1127712726593,2.784,
132.120778799057,2.824,
132.13377475738525,3.137,
132.14178085327148,2.922,
132.15379738807678,3.216,
132.16179704666138,3.078,
132.17443084716797,3.176,
132.1829047203064,2.902,
132.19490385055542,2.843,
132.20291566848755,2.529,
132.21491646766663,2.549,
132.22303938865662,2.137,
132.23603105545044,2.157,
132.24402904510498,1.961,
132.25204396247864,2.216,
132.2640528678894,2.020,
132.2726867198944,2.137,
132.28519320487976,1.843,
132.2933030128479,2.059,
132.3053855895996,1.941,
132.31338334083557,2.059,
132.32137250900269,1.745,
132.33357667922974,1.961,
132.34244227409363,1.882,
132.3544692993164,2.216,
132.36245703697205,2.294,
132.3749804496765,2.745,
132.3829686641693,2.686,
132.39596605300903,2.863,
132.40397834777832,2.725,
132.4119794368744,2.941,
132.42415690422058,2.824,
132.43224239349365,3.157,
132.4442548751831,3.235,
132.4532527923584,3.686,
132.46526837348938,3.569,
132.4737913608551,3.804,
132.48578238487244,3.725,
132.4933943748474,3.863,
132.5065200328827,3.569,
132.51452946662903,3.392,
132.52671766281128,2.882,
132.53481483459473,2.431,
132.54281497001648,1.961,
132.5549178123474,1.765,
132.56390023231506,1.451,
132.57554364204407,1.255,
132.58354377746582,1.000,
132.5966682434082,1.020,
132.60463547706604,0.902,
132.6166422367096,0.980,
132.6246407032013,1.098,
132.63264274597168,1.510,
132.6456434726715,1.745,
132.65371203422546,2.059,
132.6663544178009,2.137,
132.67387795448303,2.314,
132.68631267547607,2.627,
132.69484639167786,2.725,
132.7065749168396,2.824,
132.71467685699463,2.784,
132.72776579856873,2.745,
132.73576498031616,2.569,
132.74792551994324,2.608,
132.75606417655945,2.529,
132.76406359672546,2.490,
132.77658557891846,2.412,
132.7846851348877,2.490,
132.7966868877411,2.569,
132.80467534065247,2.529,
132.81768774986267,2.431,
132.82568502426147,2.392,
132.83368754386902,2.412,
132.8462212085724,2.392,
132.85433650016785,2.431,
132.86634278297424,2.569,
132.87439632415771,2.667,
132.8873906135559,2.922,
132.89547872543335,2.980,
132.9074785709381,3.157,
132.91547846794128,3.235,
132.92356777191162,3.431,
132.93665480613708,3.412,
132.94465279579163,3.392,
132.95685505867004,3.176,
132.9649477005005,2.980,
132.97746896743774,2.706,
132.98547172546387,2.569,
132.99755692481995,2.275,
133.00564074516296,2.118,
133.01815724372864,1.961,
133.02676630020142,1.863,
133.03842067718506,1.745,
133.04642295837402,1.980,
133.05493712425232,1.941,
133.0669527053833,2.000,
133.0754635334015,2.039,
133.0874879360199,2.196,
133.096497297287,2.176,
133.107825756073,2.431,
133.11699223518372,2.510,
133.1289939880371,2.588,
133.1370780467987,2.549,
133.14519095420837,2.686,
133.15719437599182,2.745,
133.16518449783325,2.824,
133.17780327796936,2.647,
133.18580317497253,2.549,
133.1987907886505,2.294,
133.20631551742554,2.275,
133.2193148136139,2.176,
133.22732710838318,2.294,
133.23942017555237,2.471,
133.24751591682434,2.588,
133.26005840301514,2.549,
133.2681839466095,2.647,
133.27650046348572,2.608,
133.28874921798706,2.686,
133.2967507839203,2.588,
133.30887818336487,2.588,
133.31687664985657,2.627,
133.32987689971924,2.882,
133.33796095848083,3.020,
133.34615206718445,3.196,
133.35829424858093,3.275,
133.37038707733154,3.412,
133.3784110546112,3.333,
133.39141011238098,3.373,
133.3994140625,3.294,
133.40745568275452,3.235,
133.41962027549744,2.902,
133.4281449317932,2.588,
133.44012832641602,2.216,
133.4486906528473,1.980,
133.46104216575623,1.706,
133.4692108631134,1.588,
133.47677540779114,1.490,
133.48976635932922,1.471,
133.49777555465698,1.451,
133.50987100601196,1.608,
133.51793432235718,1.627,
133.53052306175232,1.667,
133.5385227203369,1.686,
133.55060577392578,1.725,
133.5586817264557,1.686,
133.57094550132751,1.784,
133.57942509651184,1.902,
133.5924096107483,2.118,
133.6007285118103,2.294,
133.60773921012878,2.314,
133.6207411289215,2.294,
133.62874102592468,2.392,
133.64073061943054,2.490,
133.6487410068512,2.608,
133.66174364089966,2.725,
133.66975593566895,2.902,
133.68212032318115,2.961,
133.69012069702148,3.020,
133.70230555534363,3.059,
133.71042013168335,3.235,
133.72243070602417,3.216,
133.73141813278198,3.157,
133.73954010009766,3.118,
133.7516016960144,3.196,
133.7591564655304,3.255,
133.77226614952087,3.490,
133.77979278564453,3.510,
133.7923698425293,3.627,
133.80037140846252,3.549,
133.8130350112915,3.451,
133.82108664512634,3.176,
133.82909083366394,2.922,
133.8411738872528,2.647,
133.84925866127014,2.451,
133.86227345466614,2.275,
133.87027597427368,2.255,
133.8828752040863,1.941,
133.89087319374084,1.745,
133.90287327766418,1.510,
133.91087293624878,1.529,
133.918940782547,1.667,
133.93195271492004,1.784,
133.9399538040161,1.627,
133.95195293426514,1.588,
133.95995426177979,1.510,
133.97297549247742,1.569,
133.98111748695374,1.569,
133.98921132087708,1.627,
134.0012013912201,1.627,
134.00920009613037,1.824,
134.02167534828186,2.020,
134.03083872795105,2.333,
134.04189038276672,2.529,
134.0508759021759,2.882,
134.06290674209595,3.000,
134.07090759277344,3.392,
134.08353400230408,3.451,
134.09162640571594,3.745,
134.1036159992218,3.627,
134.1116132736206,3.725,
134.1196994781494,3.431,
134.1328580379486,3.275,
134.1408655643463,2.902,
134.15302538871765,2.824,
134.1611351966858,2.569,
134.17312622070312,2.431,
134.1816599369049,1.882,
134.19334602355957,1.667,
134.2020058631897,1.294,
134.2145276069641,1.314,
134.22254633903503,0.961,
134.234525680542,1.157,
134.2425377368927,1.039,
134.25152969360352,1.412,
134.26355695724487,1.275,
134.27155470848083,1.647,
134.28407883644104,1.667,
134.29208064079285,2.098,
134.3040690422058,2.235,
134.31228637695312,2.745,
134.32459211349487,2.784,
134.3335883617401,3.137,
134.34157967567444,3.157,
134.3536880016327,3.471,
134.3618175983429,3.275,
134.3738181591034,3.510,
134.38232803344727,3.294,
134.3949329853058,3.451,
134.40293979644775,3.020,
134.41507744789124,3.000,
134.4231722354889,2.725,
134.43118238449097,2.863,
134.44418239593506,2.529,
134.45224475860596,2.608,
134.4642448425293,2.275,
134.47224688529968,2.490,
134.48477149009705,2.137,
134.4927830696106,2.216,
134.50077390670776,2.000,
134.51378917694092,2.216,
134.52177619934082,2.020,
134.53393292427063,2.275,
134.54205346107483,2.059,
134.5542311668396,2.490,
134.56224870681763,2.608,
134.574321269989,2.902,
134.58257222175598,2.824,
134.59557223320007,3.078,
134.6036500930786,3.039,
134.61572337150574,3.353,
134.62380266189575,3.176,
134.6317880153656,3.353,
134.6439926624298,3.000,
134.65285897254944,2.941,
134.66532111167908,2.667,
134.67344427108765,2.765,
134.6849820613861,2.412,
134.6939787864685,2.471,
134.70582103729248,2.176,
134.71390581130981,2.196,
134.72589421272278,2.118,
134.7349066734314,2.275,
134.74700903892517,2.255,
134.75524401664734,2.255,
134.76324892044067,2.157,
134.77575731277466,2.196,
134.78327775001526,1.765,
134.79540061950684,1.471,
134.8046522140503,1.431,
134.81665015220642,1.549,
134.82474517822266,1.804,
134.83684873580933,2.020,
134.84484887123108,2.137,
134.8529405593872,2.373,
134.86514806747437,2.902,
134.87426495552063,3.784,
134.8859076499939,3.608,
134.8940200805664,3.137,
134.90702033042908,2.627,
134.91513991355896,2.510,
134.92723178863525,2.431,
134.93523979187012,2.471,
134.94834303855896,2.392,
134.95536041259766,2.392,
134.96758580207825,2.392,
134.97668504714966,2.608,
134.98420906066895,2.608,
134.99640798568726,2.647,
135.00452375411987,2.549,
135.01753187179565,2.627,
135.02553153038025,2.608,
135.03769254684448,2.706,
135.04557037353516,2.667,
135.05857062339783,2.706,
135.06658959388733,2.745,
135.07912063598633,2.608,
135.08633542060852,2.569,
135.0993354320526,2.412,
135.10733556747437,2.353,
135.11544251441956,2.196,
135.1277129650116,2.255,
135.13572335243225,2.333,
135.1487021446228,2.431,
135.1567144393921,2.431,
135.1688141822815,2.588,
135.17733454704285,2.569,
135.18535113334656,2.627,
135.197350025177,2.667,
135.20535254478455,2.569,
135.21757578849792,2.451,
135.22568106651306,2.471,
135.2387819290161,2.275,
135.2467818260193,2.451,
135.25878190994263,2.510,
135.26679944992065,2.569,
135.27966570854187,2.412,
135.2871904373169,2.451,
135.30019068717957,2.451,
135.30819058418274,2.608,
135.31602931022644,2.510,
135.3281352519989,2.412,
135.33624053001404,2.235,
135.34923815727234,2.235,
135.3572382926941,2.157,
135.36947798728943,2.333,
135.3780767917633,2.353,
135.39008784294128,2.431,
135.39808654785156,2.353,
135.40616178512573,2.392,
135.41827774047852,2.412,
135.42727875709534,2.529,
135.43927907943726,2.490,
135.4473843574524,2.529,
135.45938420295715,2.353,
135.46740198135376,2.353,
135.48003602027893,2.314,
135.4881477355957,2.510,
135.49614763259888,2.471,
135.5091474056244,2.490,
135.51714706420898,2.549,
135.52929067611694,2.824,
135.53740072250366,2.980,
135.5493984222412,3.392,
