Время (с),A0 (В),A1 (В)
49.55160927772522,2.137,
49.56013751029968,3.353,
49.57268166542053,1.490,
49.580029010772705,3.627,
49.593064069747925,1.922,
49.60097122192383,3.765,
49.61300611495972,2.137,
49.621036767959595,3.039,
49.629624366760254,1.137,
49.641716718673706,3.157,
49.650304079055786,1.941,
49.66191029548645,3.608,
49.669955253601074,1.765,
49.682629346847534,3.020,
49.691375732421875,2.294,
49.703431367874146,3.196,
49.71110200881958,2.098,
49.723705530166626,3.804,
49.73179602622986,2.451,
49.74420785903931,3.020,
49.75249528884888,1.588,
49.760531187057495,3.157,
49.772571325302124,1.922,
49.78162431716919,2.882,
49.79311561584473,1.569,
49.80188608169556,2.804,
49.8144474029541,1.843,
49.82219195365906,3.275,
49.83079814910889,1.922,
49.84272789955139,3.059,
49.85091304779053,1.549,
49.86348795890808,2.608,
49.871020555496216,1.745,
49.884105920791626,2.980,
49.89160871505737,1.627,
49.903143882751465,2.882,
49.91220808029175,2.235,
49.92101764678955,3.275,
49.932602643966675,1.529,
49.941171407699585,2.863,
49.95274829864502,2.078,
49.961212396621704,3.412,
49.97376751899719,2.235,
49.982338190078735,3.196,
49.99447011947632,1.686,
50.00257968902588,2.765,
50.01511025428772,2.922,
50.02277421951294,2.784,
50.034839391708374,2.549,
50.042946338653564,3.137,
50.05119872093201,3.020,
50.063708543777466,3.137,
50.07122564315796,2.627,
50.08464789390564,2.353,
50.09216260910034,2.078,
50.10455822944641,2.647,
50.112614154815674,2.412,
50.125534772872925,2.725,
50.133058309555054,2.647,
50.14127564430237,3.098,
50.15379071235657,2.686,
50.162545919418335,2.431,
50.174826860427856,2.255,
50.187188148498535,2.510,
50.1952486038208,3.098,
50.20680499076843,2.588,
50.2158260345459,2.961,
50.224013328552246,2.980,
50.23604893684387,3.588,
50.243947982788086,3.588,
50.25598216056824,4.490,
50.26382279396057,4.510,
50.27640700340271,4.804,
50.2849657535553,4.137,
50.29648280143738,4.098,
50.30561113357544,3.373,
50.31364369392395,2.941,
50.326236724853516,2.059,
50.334290504455566,1.098,
50.345836877822876,0.314,
50.35437369346619,0.510,
50.36677026748657,0.000,
50.37477660179138,0.000,
50.38792324066162,0.000,
50.394911766052246,0.000,
50.403950691223145,0.000,
50.4164764881134,0.314,
50.424545764923096,0.353,
50.43614077568054,0.824,
50.444703102111816,0.765,
50.45681929588318,1.667,
50.465338706970215,1.235,
50.472883224487305,1.647,
50.48598909378052,2.039,
50.4942364692688,2.137,
50.50584435462952,2.000,
50.51434850692749,3.353,
50.527130365371704,3.216,
50.5351619720459,3.196,
50.547340631484985,2.608,
50.55485725402832,3.549,
50.56746864318848,3.294,
50.575549840927124,3.980,
50.58758068084717,3.824,
50.59616017341614,4.118,
50.60422611236572,3.902,
50.61679029464722,4.510,
50.625255823135376,3.882,
50.636990547180176,3.961,
50.645527362823486,3.000,
50.65757441520691,2.667,
50.6657075881958,1.451,
50.678263664245605,1.039,
50.68688654899597,0.647,
50.69846725463867,1.235,
50.70651197433472,1.039,
50.719298124313354,1.078,
50.72781300544739,0.784,
50.7353401184082,1.039,
50.74803066253662,0.235,
50.75657653808594,0.000,
50.76889109611511,0.157,
50.77599740028381,1.078,
50.789363861083984,1.765,
50.797383308410645,2.725,
50.80953502655029,3.431,
50.81776022911072,4.196,
50.82559370994568,4.529,
50.83806347846985,4.804,
50.8462450504303,4.745,
50.85829281806946,4.725,
50.8663067817688,4.373,
50.87903308868408,4.431,
50.887564182281494,4.078,
50.89972639083862,4.176,
50.907809257507324,3.922,
50.91634702682495,3.725,
50.92837858200073,3.882,
50.93593955039978,4.157,
50.94766354560852,3.922,
50.95723509788513,3.725,
50.96927285194397,3.216,
50.97709608078003,2.961,
50.985700607299805,3.118,
50.99736762046814,3.020,
51.00592303276062,1.843,
51.01847958564758,1.333,
51.02652668952942,1.157,
51.039114236831665,1.765,
51.04664611816406,1.510,
51.05954170227051,1.980,
51.06786370277405,2.039,
51.07943606376648,2.490,
51.08797597885132,2.373,
51.10033082962036,2.863,
51.10885810852051,2.412,
51.11637353897095,2.784,
51.12845325469971,2.235,
51.136985063552856,2.039,
51.149813175201416,1.392,
51.15734386444092,1.020,
51.16954255104065,0.333,
51.17773222923279,0.078,
51.19053888320923,0.000,
51.19905209541321,0.549,
51.21048140525818,0.667,
51.219069719314575,1.941,
51.23117136955261,1.510,
51.239702463150024,2.902,
51.247737407684326,2.412,
51.25976920127869,2.882,
51.26804876327515,1.980,
51.2800817489624,2.922,
51.28910970687866,2.667,
51.30072283744812,3.510,
51.309248208999634,2.745,
51.321831703186035,3.765,
51.329866886138916,2.843,
51.33791184425354,3.255,
51.350486755371094,2.804,
51.35807180404663,4.020,
51.37070298194885,2.882,
51.3782172203064,3.098,
51.39090299606323,2.255,
51.399476051330566,2.431,
51.4105429649353,1.216,
51.42009520530701,2.490,
51.42835068702698,2.039,
51.44043040275574,2.882,
51.44847798347473,1.765,
51.46102809906006,2.275,
51.468576192855835,1.549,
51.481181383132935,2.706,
51.48952078819275,2.098,
51.49755644798279,3.039,
51.50964379310608,2.235,
51.51817512512207,2.961,
51.53034830093384,2.000,
51.53835082054138,3.059,
51.55057883262634,2.059,
51.55858635902405,3.804,
51.57172703742981,1.706,
51.579243898391724,3.294,
51.59182691574097,2.000,
51.600204944610596,3.549,
51.61185050010681,2.059,
51.6201868057251,3.490,
51.62824535369873,2.059,
51.64107394218445,3.431,
51.648762941360474,1.451,
51.661571979522705,3.392,
51.66914463043213,2.196,
51.681893825531006,3.333,
51.690022468566895,1.549,
51.70206809043884,3.255,
51.71041488647461,1.608,
51.722458600997925,3.569,
51.731513261795044,1.569,
51.743123292922974,3.196,
51.75164222717285,1.588,
51.76377749443054,3.431,
51.77251362800598,1.549,
51.78382587432861,3.412,
51.792842864990234,1.902,
51.80096077919006,3.686,
51.812501430511475,2.020,
51.821383237838745,3.294,
51.83339977264404,1.275,
51.841981649398804,2.902,
51.85403108596802,1.451,
51.86155080795288,3.471,
51.87477993965149,1.843,
51.88214063644409,3.686,
51.891141176223755,1.569,
51.903178453445435,3.196,
51.9117066860199,1.451,
51.92344045639038,3.118,
51.93094491958618,1.510,
51.94377064704895,3.294,
51.952197551727295,1.569,
51.96426248550415,3.255,
51.97279977798462,1.647,
51.98086476325989,3.431,
51.99291396141052,1.784,
52.001508474349976,3.784,
52.0140061378479,1.686,
52.02156686782837,2.902,
52.03445053100586,1.490,
52.04253125190735,2.922,
52.055095911026,1.275,
52.063332080841064,3.020,
52.074864625930786,2.157,
52.08352446556091,3.353,
52.096112966537476,2.588,
52.10364079475403,3.765,
52.11170983314514,2.196,
52.124746561050415,3.373,
52.132256507873535,2.020,
52.14442443847656,2.863,
52.15250825881958,1.471,
52.16488027572632,3.137,
52.174007415771484,2.020,
52.18175721168518,3.157,
52.19380259513855,2.157,
52.20246171951294,3.745,
52.21457481384277,2.549,
52.22263026237488,3.137,
52.23446345329285,2.471,
52.24245095252991,2.902,
52.25554943084717,2.216,
52.263583183288574,2.529,
52.27619004249573,2.549,
52.28370380401611,2.627,
52.29678201675415,2.765,
52.304306745529175,3.000,
52.31241798400879,2.333,
52.32509517669678,2.824,
52.33364653587341,2.431,
52.34591054916382,2.667,
52.3539559841156,2.353,
52.36576437950134,2.333,
52.37395119667053,1.627,
52.38699746131897,2.078,
52.394643783569336,1.863,
52.40335536003113,2.490,
52.41490817070007,2.020,
52.4234414100647,2.098,
52.43560528755188,1.941,
52.444117307662964,2.412,
52.45628762245178,2.510,
52.46482276916504,2.510,
52.476144313812256,2.176,
52.484411001205444,2.412,
52.49299168586731,2.059,
52.5053277015686,2.451,
52.51336741447449,2.784,
52.525745153427124,3.157,
52.53428769111633,2.706,
52.546456813812256,2.922,
52.55466651916504,3.078,
52.5667200088501,3.412,
52.57458424568176,3.157,
52.58764362335205,2.216,
52.59523963928223,2.392,
52.60813665390015,2.000,
52.61578941345215,2.314,
52.62443828582764,2.039,
52.63607144355774,2.196,
52.64466571807861,1.824,
52.657227993011475,2.294,
52.665542125701904,2.000,
52.67764616012573,2.451,
52.68600845336914,1.902,
52.69391751289368,1.980,
52.706050395965576,2.118,
52.71465468406677,2.686,
52.72669982910156,2.647,
52.73495674133301,2.784,
52.746994495391846,2.392,
52.7556426525116,2.961,
52.76796197891235,2.294,
52.775500774383545,2.902,
52.78755521774292,2.569,
52.795249700546265,2.765,
52.80778741836548,2.490,
52.81631565093994,2.804,
52.82465100288391,2.353,
52.83730721473694,2.882,
52.84503960609436,2.392,
52.857134103775024,2.647,
52.865683794021606,2.294,
52.87828087806702,3.216,
52.88635563850403,2.745,
52.898046255111694,3.039,
52.906187534332275,2.275,
52.91523623466492,2.294,
52.926881074905396,2.020,
52.93540692329407,2.353,
52.94765901565552,1.725,
52.95566129684448,2.431,
52.967851877212524,2.078,
52.975871086120605,2.451,
52.98902177810669,1.941,
52.99654984474182,2.569,
53.00459384918213,2.275,
53.017396688461304,2.549,
53.02542209625244,2.255,
53.03732705116272,2.529,
53.04607820510864,2.118,
53.05827879905701,2.686,
53.06645393371582,2.275,
53.07884907722473,2.784,
53.086880922317505,2.431,
53.09954357147217,2.902,
53.10727024078369,2.882,
53.119885206222534,3.137,
53.12740516662598,2.725,
53.1364963054657,2.686,
53.14743733406067,2.647,
53.15645241737366,2.667,
53.169109582901,2.196,
53.17712926864624,2.294,
53.18896150588989,2.078,
53.19747018814087,2.255,
53.20995473861694,2.098,
53.218108892440796,2.216,
53.23016929626465,2.078,
53.23828482627869,2.137,
53.250935077667236,1.588,
53.259472370147705,1.745,
53.27109742164612,1.725,
53.27910041809082,1.941,
53.29174280166626,1.863,
53.29940986633301,2.353,
53.30795645713806,1.902,
53.32059860229492,2.157,
53.328699588775635,2.569,
53.34093952178955,2.765,
53.349350929260254,2.373,
53.36108708381653,3.000,
53.369855880737305,2.118,
53.37756061553955,2.196,
53.390135288238525,2.353,
53.3978054523468,2.608,
53.41038680076599,2.216,
53.41889667510986,2.647,
53.431167125701904,2.588,
53.43883037567139,2.647,
53.45151233673096,2.314,
53.4596471786499,2.725,
53.468170166015625,2.725,
53.47987604141235,2.804,
53.4884352684021,2.255,
53.50104737281799,2.471,
53.508591175079346,2.137,
53.52124857902527,2.686,
53.529781103134155,2.431,
53.540820837020874,3.000,
53.549968004226685,2.627,
53.558088541030884,2.824,
53.57046675682068,2.333,
53.5780234336853,2.569,
53.590606451034546,2.412,
53.599146127700806,3.078,
53.61144232749939,2.294,
53.618494749069214,2.961,
53.632062673568726,1.667,
53.640098571777344,2.471,
53.652626752853394,2.137,
53.66009831428528,2.882,
53.67174959182739,2.020,
53.68079876899719,2.882,
53.68933367729187,2.412,
53.701574087142944,3.078,
53.70961666107178,1.961,
53.72219467163086,3.118,
53.729796409606934,2.314,
53.74238467216492,2.784,
53.750741958618164,1.706,
53.76333832740784,3.098,
53.77146553993225,1.980,
53.78374719619751,3.392,
53.79154968261719,1.843,
53.80371594429016,3.431,
53.8117573261261,2.000,
53.81984233856201,3.196,
53.83265280723572,1.294,
53.84069585800171,2.922,
53.852773666381836,1.667,
53.861626863479614,3.137,
53.87367534637451,1.667,
53.88170909881592,3.176,
53.890221118927,1.686,
53.90210437774658,2.804,
53.910165548324585,1.490,
53.92235803604126,3.353,
53.93093276023865,1.824,
53.94338250160217,3.000,
53.950926303863525,1.471,
53.96303153038025,3.059,
53.97187089920044,1.412,
53.98016858100891,3.353,
53.992456674575806,2.255,
54.00097942352295,3.412,
54.013004302978516,1.608,
54.02102303504944,2.980,
54.03318214416504,1.529,
54.041714668273926,3.255,
54.053308963775635,1.569,
54.06193733215332,2.882,
54.07049798965454,1.627,
54.08226752281189,3.275,
54.089784145355225,1.569,
54.102819204330444,3.608,
54.1113486289978,2.353,
54.122878313064575,4.275,
54.13139629364014,1.941,
54.144036293029785,3.627,
54.15156936645508,2.020,
54.16464447975159,3.412,
54.17171239852905,1.941,
54.18492412567139,3.824,
54.19251537322998,2.039,
54.20143747329712,3.490,
54.213658809661865,1.157,
54.221211671829224,2.922,
54.23358702659607,1.431,
54.24213266372681,3.314,
54.25418710708618,1.647,
54.26225233078003,3.451,
54.27435350418091,1.706,
54.28292751312256,2.980,
54.295427322387695,1.922,
54.30399227142334,2.588,
54.31594467163086,1.765,
54.32448077201843,3.059,
54.33212208747864,1.431,
54.34420037269592,2.784,
54.352766036987305,1.608,
54.364842891693115,2.824,
54.37355375289917,2.020,
54.38534498214722,3.549,
54.3940007686615,2.098,
54.40143179893494,3.255,
54.41452598571777,1.745,
54.42255520820618,3.294,
54.43449378013611,2.451,
54.44251227378845,3.765,
54.455087661743164,2.255,
54.463115215301514,3.353,
54.47532653808594,1.961,
54.48339295387268,3.039,
54.49180889129639,1.922,
54.504690408706665,2.941,
54.51232981681824,1.784,
54.525044202804565,2.843,
54.53287601470947,1.569,
54.544657468795776,3.373,
54.55322027206421,2.157,
54.56497263908386,3.137,
54.57405376434326,2.078,
54.58207941055298,3.314,
54.594122886657715,1.922,
54.602646350860596,3.412,
54.61514711380005,2.137,
54.62316846847534,2.255,
54.63568186759949,2.059,
54.64356184005737,2.843,
54.65593338012695,2.549,
54.66345191001892,2.549,
54.676175355911255,1.765,
54.68468618392944,1.863,
54.69727373123169,2.157,
54.70429253578186,2.569,
54.71712255477905,2.098,
54.725650787353516,2.588,
54.73751974105835,2.176,
54.746054887771606,2.333,
54.753976583480835,1.765,
54.76677918434143,2.118,
54.77429962158203,2.157,
54.78683948516846,2.039,
54.79541635513306,2.314,
54.80703639984131,2.686,
54.81571936607361,3.275,
54.8283257484436,3.294,
54.836384296417236,3.451,
54.8485107421875,3.039,
54.856534242630005,3.098,
54.86838412284851,2.647,
54.87690234184265,2.941,
54.88536357879639,2.667,
54.89741039276123,2.549,
54.90605044364929,2.294,
54.91798806190491,2.549,
54.92656493186951,2.392,
54.938154220581055,3.078,
54.94694972038269,2.863,
54.95462465286255,2.941,
54.967435359954834,2.608,
54.97503113746643,2.824,
54.98809576034546,2.294,
54.99613070487976,2.667,
55.00776481628418,2.314,
55.01680636405945,2.333,
55.02888536453247,1.961,
55.03689241409302,2.647,
55.04511332511902,2.725,
55.05717182159424,2.784,
55.06557750701904,2.431,
55.077786684036255,2.647,
55.086045265197754,2.706,
55.09861946105957,2.392,
55.106138467788696,1.902,
55.11869168281555,2.529,
55.12649941444397,1.922,
55.13865089416504,2.353,
55.14774036407471,1.863,
55.159788608551025,2.373,
55.16834044456482,1.922,
55.175846099853516,2.333,
55.18880748748779,1.784,
55.196842670440674,2.000,
55.20884370803833,2.137,
55.2171528339386,2.765,
55.229209423065186,2.451,
55.23775124549866,2.686,
55.24901270866394,2.333,
55.25804686546326,3.000,
55.26628875732422,2.569,
55.278982639312744,3.020,
55.286545753479004,2.157,
55.29903292655945,2.235,
55.30746865272522,1.647,
55.31904935836792,2.333,
55.32811141014099,2.686,
55.34008550643921,2.706,
55.3481285572052,2.098,
55.35970067977905,2.176,
55.36883807182312,1.980,
55.38104033470154,2.294,
55.3890438079834,2.275,
55.39686179161072,2.431,
55.41001534461975,2.353,
55.418049573898315,2.608,
55.42962408065796,2.314,
55.438551902770996,2.686,
55.450265884399414,3.000,
55.45880484580994,3.431,
55.4673433303833,3.392,
55.4790472984314,3.588,
55.48711919784546,3.039,
55.49983501434326,2.784,
55.50734615325928,2.255,
55.51986789703369,2.471,
55.52891445159912,2.157,
55.54078555107117,1.784,
55.54879570007324,1.608,
55.55751347541809,1.961,
55.56953525543213,1.686,
55.57735228538513,1.824,
55.58962392807007,1.980,
55.59769558906555,2.471,
55.61054515838623,2.255,
55.61845088005066,2.627,
55.63102126121521,2.549,
55.63863754272461,2.725,
55.65167260169983,2.353,
55.659168004989624,2.549,
55.671772956848145,2.235,
55.67981171607971,2.804,
55.6878387928009,2.549,
55.7001371383667,3.000,
55.707661628723145,2.569,
55.72140836715698,2.902,
55.728681802749634,2.333,
55.74175405502319,2.255,
55.7492938041687,2.039,
55.76237988471985,2.627,
55.76991653442383,2.216,
55.777973651885986,2.196,
55.79104518890381,2.451,
55.7992103099823,2.745,
55.81125235557556,2.451,
55.81905508041382,2.765,
55.83111310005188,2.118,
55.840147256851196,2.882,
55.85225033760071,2.137,
55.86028218269348,2.706,
55.87211847305298,2.137,
55.88080048561096,2.863,
55.89251399040222,1.824,
55.90135741233826,2.314,
55.90937566757202,1.608,
55.920942068099976,2.275,
55.92947220802307,1.608,
55.942341566085815,2.804,
55.94985508918762,2.294,
55.96296787261963,2.824,
55.970550537109375,2.333,
55.979074478149414,2.961,
55.991469621658325,2.196,
55.999096632003784,3.137,
56.011330127716064,2.431,
56.02037692070007,3.176,
56.03194737434387,2.294,
56.0405478477478,2.961,
56.05263900756836,2.157,
56.061137437820435,2.941,
56.069443225860596,2.098,
56.08127522468567,2.686,
56.08986759185791,2.059,
56.10231924057007,3.000,
56.110366106033325,2.039,
56.122838497161865,2.647,
56.13034987449646,2.078,
56.1424126625061,2.824,
56.150893449783325,1.667,
56.16296315193176,2.902,
