Время (с),A0 (В),A1 (В)
53.42842483520508,2.471,
53.440290451049805,2.569,
53.44886589050293,2.549,
53.461469650268555,2.569,
53.47010397911072,2.471,
53.478148221969604,2.490,
53.489702463150024,2.529,
53.49814295768738,2.667,
53.51018500328064,2.667,
53.518715381622314,2.765,
53.53028583526611,2.667,
53.53933525085449,2.647,
53.54751014709473,2.627,
53.560080766677856,2.667,
53.56814765930176,2.510,
53.58073830604553,2.549,
53.58842706680298,2.569,
53.60107111930847,2.392,
53.60857653617859,2.451,
53.62165379524231,2.412,
53.629183530807495,2.392,
53.641260862350464,2.392,
53.65038847923279,2.431,
53.662453413009644,2.294,
53.6699755191803,2.255,
53.67915320396423,2.255,
53.69121551513672,2.275,
53.69882249832153,2.275,
53.711804151535034,2.392,
53.71941947937012,2.333,
53.73209524154663,2.255,
53.74015665054321,2.196,
53.75219655036926,2.314,
53.76023077964783,2.471,
53.77279591560364,2.608,
53.7808039188385,2.725,
53.79335808753967,2.686,
53.80194902420044,2.627,
53.809484004974365,2.588,
53.8211030960083,2.608,
53.8297073841095,2.412,
53.8427996635437,2.412,
53.850802183151245,2.373,
53.86256289482117,2.353,
53.8716197013855,2.412,
53.88368487358093,2.490,
53.8917453289032,2.510,
53.899341106414795,2.549,
53.91247892379761,2.471,
53.92066192626953,2.451,
53.93270540237427,2.353,
53.94123291969299,2.471,
53.95324158668518,2.549,
53.96130108833313,2.549,
53.97386813163757,2.549,
53.98193097114563,2.686,
53.989917516708374,2.608,
54.00124645233154,2.569,
54.01484251022339,2.471,
54.02235293388367,2.569,
54.03094553947449,2.451,
54.043580293655396,2.451,
54.0513014793396,2.392,
54.064119815826416,2.510,
54.071678161621094,2.451,
54.08436298370361,2.569,
54.092392444610596,2.451,
54.104514598846436,2.549,
54.112077951431274,2.510,
54.1248197555542,2.706,
54.13294339179993,2.608,
54.14550280570984,2.784,
54.15380835533142,2.608,
54.16234564781189,2.667,
54.1745069026947,2.392,
54.182512521743774,2.569,
54.194608211517334,2.353,
54.20262598991394,2.451,
54.21474266052246,2.216,
54.223341941833496,2.353,
54.2313973903656,2.157,
54.24396824836731,2.255,
54.25177001953125,2.157,
54.2645742893219,2.392,
54.27266836166382,2.157,
54.28485894203186,2.353,
54.29290533065796,2.137,
54.30494999885559,2.412,
54.3134880065918,2.275,
54.325563192367554,2.431,
54.33415675163269,2.157,
54.346784353256226,2.451,
54.35449433326721,2.176,
54.36303663253784,2.392,
54.374221324920654,2.059,
54.38283944129944,2.412,
54.395447969436646,2.235,
54.40412616729736,2.510,
54.41575074195862,2.275,
54.4244921207428,2.706,
54.436150312423706,2.608,
54.444705963134766,3.020,
54.45234680175781,2.922,
54.46516990661621,3.412,
54.47323274612427,3.373,
54.48572373390198,3.784,
54.4937629699707,3.588,
54.50607705116272,3.980,
54.51472783088684,3.608,
54.52681612968445,3.686,
54.534823417663574,3.294,
54.5429413318634,3.235,
54.555033683776855,2.471,
54.56363368034363,2.059,
54.57522368431091,1.255,
54.584237813949585,0.980,
54.59633421897888,0.451,
54.60437226295471,0.490,
54.61648678779602,0.275,
54.62455105781555,0.686,
