Время (с),A0 (В),A1 (В)
25.86811661720276,2.392,
25.880143642425537,2.196,
25.88923168182373,2.824,
25.90077018737793,2.098,
25.909641981124878,1.784,
25.92199683189392,1.843,
25.929763317108154,2.216,
25.94250226020813,2.314,
25.95004105567932,2.078,
25.96204113960266,2.490,
25.970046758651733,2.863,
25.979191064834595,2.569,
25.990837574005127,2.725,
25.99899172782898,2.961,
26.011156797409058,3.647,
26.01960301399231,3.078,
26.032138347625732,2.118,
26.040399312973022,2.176,
26.048917055130005,2.490,
26.061174631118774,2.608,
26.0682373046875,2.824,
26.081292629241943,2.412,
26.089311122894287,2.412,
26.101343393325806,2.627,
26.10985016822815,2.333,
26.121881246566772,2.039,
26.129961729049683,2.667,
26.143158674240112,2.608,
26.151203870773315,2.804,
26.16323494911194,2.725,
26.17175555229187,2.647,
26.179376125335693,1.824,
26.192396879196167,1.706,
26.1997492313385,1.980,
26.212154150009155,2.588,
26.220693349838257,2.412,
26.23320722579956,2.373,
26.241227388381958,2.569,
26.253132104873657,2.471,
26.2615807056427,2.059,
26.269757509231567,2.490,
26.28171133995056,2.961,
26.28982973098755,3.275,
26.302963972091675,2.784,
26.31098246574402,2.824,
26.32331871986389,2.412,
26.331379890441895,1.863,
26.342911958694458,1.314,
26.351423263549805,1.961,
26.360021352767944,2.451,
26.372056484222412,2.608,
26.380589246749878,1.784,
26.392298936843872,1.980,
26.40108561515808,2.275,
26.412813663482666,2.588,
26.421541929244995,2.373,
26.433388233184814,2.765,
26.440837144851685,2.353,
26.454586267471313,2.490,
26.462602138519287,2.039,
26.474742650985718,2.471,
26.482266664505005,2.471,
26.490309715270996,2.431,
26.502968788146973,1.706,
26.51147985458374,2.745,
26.523319959640503,2.941,
26.5322048664093,2.941,
26.544045209884644,2.510,
26.552709341049194,3.059,
26.56023621559143,2.863,
26.573268175125122,3.235,
26.580864191055298,2.824,
26.59305477142334,3.000,
26.60117506980896,2.373,
26.613205909729004,2.882,
26.62173295021057,2.255,
26.634426593780518,2.569,
26.642128467559814,1.863,
26.655187606811523,2.196,
26.662638902664185,1.451,
26.67513871192932,2.745,
26.683834314346313,2.549,
26.691633462905884,3.020,
26.70397138595581,2.314,
26.71573829650879,2.588,
26.724767684936523,2.059,
26.732559204101562,2.490,
26.744600534439087,2.000,
26.753215789794922,2.765,
26.765477657318115,2.451,
26.7740159034729,2.961,
26.786330461502075,2.255,
26.79384732246399,2.431,
26.80608868598938,1.882,
26.814115524291992,2.647,
26.823121309280396,2.196,
26.835182189941406,2.667,
26.84318780899048,2.157,
26.8551607131958,3.118,
26.8641836643219,2.431,
26.87563991546631,3.275,
26.884181022644043,2.569,
26.89692258834839,3.176,
26.90439534187317,2.588,
26.9124276638031,2.725,
26.925071716308594,2.275,
26.933119535446167,2.765,
26.94528579711914,2.294,
26.954071760177612,2.667,
26.96610188484192,1.686,
26.974131107330322,2.000,
26.98650026321411,2.039,
26.994017124176025,2.314,
27.00710654258728,2.137,
27.015129566192627,2.824,
27.02715301513672,2.569,
27.03618097305298,2.686,
27.04369616508484,2.157,
27.05590558052063,2.549,
27.06393027305603,2.686,
27.076956748962402,3.176,
27.08456015586853,2.137,
27.09711194038391,2.549,
27.10508108139038,2.667,
27.118119716644287,3.275,
27.126155138015747,2.784,
27.137934684753418,2.471,
27.145963191986084,2.725,
27.158525466918945,2.667,
27.16703200340271,2.333,
27.175410985946655,2.588,
27.18764853477478,2.627,
27.195679664611816,2.392,
27.207496404647827,2.078,
27.216047048568726,2.196,
27.228415727615356,1.647,
27.2364399433136,2.490,
27.2449848651886,2.549,
27.256503582000732,2.490,
27.2655246257782,2.569,
27.27764344215393,2.353,
27.28566861152649,1.608,
27.297760725021362,2.255,
27.30629849433899,2.176,
27.31883215904236,2.255,
27.32685685157776,2.902,
27.33437156677246,3.157,
27.34746479988098,2.882,
27.35548496246338,2.686,
27.367018699645996,2.863,
27.37604069709778,2.745,
27.387589931488037,2.020,
27.396100997924805,1.882,
27.408670902252197,2.686,
27.417187690734863,2.804,
27.425361156463623,1.824,
27.436891555786133,1.922,
27.445345401763916,2.039,
27.45687508583069,1.824,
27.46641755104065,2.608,
